Company Name,Rating,Reviews,Industry,Main Location,Salaries Reported,Interviews,Jobs
TCS,3.3,(1.1L),IT Services & Consulting,Bangalore / Bengaluru +437 other locations,9.7L,11.7k,2.9k
Accenture,3.7,(70.8k),IT Services & Consulting,Bangalore / Bengaluru +255 other locations,6.4L,9.1k,34.7k
Wipro,3.6,(62.8k),IT Services & Consulting,Hyderabad / Secunderabad +370 other locations,4.7L,6.5k,6.6k
Cognizant,3.6,(59.8k),IT Services & Consulting,Hyderabad / Secunderabad +229 other locations,5.9L,6.2k,784
Capgemini,3.7,(51.4k),IT Services & Consulting,Bangalore / Bengaluru +183 other locations,4.7L,5.4k,2k
HDFC Bank,3.8,(50.3k),Banking,Mumbai +1817 other locations,1.5L,2.8k,225
Infosys,3.5,(47k),IT Services & Consulting,Bangalore / Bengaluru +245 other locations,5.2L,8.3k,2.4k
ICICI Bank,4.0,(45.1k),Banking,Mumbai +1436 other locations,1.5L,2.8k,23
HCLTech,3.4,(44.2k),IT Services & Consulting,Chennai +226 other locations,3.7L,4.4k,220
Tech Mahindra,3.4,(42.2k),IT Services & Consulting,Hyderabad / Secunderabad +336 other locations,2.8L,4.4k,413
Genpact,3.6,(40.6k),IT Services & Consulting,Hyderabad / Secunderabad +182 other locations,2.3L,3.7k,469
Teleperformance,3.8,(36.3k),BPO,Mumbai +254 other locations,95.3k,2.1k,1.2k
Axis Bank,3.6,(32.1k),Banking,Mumbai +1497 other locations,1L,1.8k,221
Jio,4.3,(31.7k),Telecom,Mumbai +1861 other locations,62.2k,3.5k,3
Concentrix Corporation,3.6,(31.4k),BPO,Bangalore / Bengaluru +178 other locations,1.3L,1.9k,62
Amazon,3.9,(30.6k),Internet,Bangalore / Bengaluru +521 other locations,1.5L,5.7k,1.5k
iEnergizer,4.6,(27.4k),BPO,Noida +51 other locations,24.1k,1k,55
Reliance Retail,3.9,(26.9k),Retail,Mumbai +1149 other locations,74.2k,1.9k,74
